D:\Rida\SVM\INRIAPerson\Train\pos/crop001001.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001002.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001003.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001004.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001005.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001006.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001007.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001008.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001009.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001010.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001011.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001012.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001013.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001014.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001015.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001016.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001017.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001018.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001019.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001020.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001021.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001022.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001023.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001024.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001025.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001026.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001027.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001028.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001029.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001030.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001031.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001032.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001033.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001034.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001035.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001036.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001037.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001038.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001039.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001040.png 1 0 0 128 64
D:\Rida\SVM\INRIAPerson\Train\pos/crop001042.png 1 0 0 128 64
